,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose,Date,AdjustedCloseChange,RegSales,GallonsSold,DateYM
0,2000,1,2.7,1.329,3481.0,348.0,41250.0,18010.0,37.6875,18.2953,2000-01-01,,10.443,7,2000-01
1,2000,2,3.2,1.415,3481.0,348.0,41250.0,18010.0,42.9618,16.476,2000-02-01,-9.944083999715787,10.443,7,2000-02
2,2000,3,3.8,1.556,3481.0,348.0,41250.0,18010.0,51.1761,20.3915,2000-03-01,23.764870114105378,10.443,6,2000-03
3,2000,4,3.1,1.506,3987.33,372.0,41380.0,18750.0,31.5026,18.779,2000-04-01,-7.907706642473585,11.96199,7,2000-04
4,2000,5,3.2,1.526,3987.33,372.0,41380.0,18750.0,30.6928,20.5234,2000-05-01,9.289099526066337,11.96199,7,2000-05
5,2000,6,3.7,1.666,3987.33,372.0,41380.0,18750.0,35.6078,18.8416,2000-06-01,-8.194548661527818,11.96199,7,2000-06
6,2000,7,3.7,1.591,3976.67,510.33,41650.0,18920.0,33.4418,17.5464,2000-07-01,-6.874150815217391,11.93001,7,2000-07
7,2000,8,3.4,1.506,3976.67,510.33,41650.0,18920.0,31.5698,18.9207,2000-08-01,7.832375871973738,11.93001,7,2000-08
8,2000,9,3.5,1.588,3976.67,510.33,41650.0,18920.0,38.0016,19.0841,2000-09-01,0.8636044120989226,11.93001,7,2000-09
9,2000,10,3.4,1.571,4397.33,498.0,40970.0,19930.0,53.6437,18.3856,2000-10-01,-3.66011496481363,13.19199,8,2000-10
10,2000,11,3.4,1.557,4397.33,498.0,40970.0,19930.0,32.8458,18.4716,2000-11-01,0.4677573753372144,13.19199,8,2000-11
11,2000,12,3.4,1.483,4397.33,498.0,40970.0,19930.0,40.2833,19.0491,2000-12-01,3.126421100500238,13.19199,8,2000-12
12,2001,1,3.7,1.487,3654.67,533.33,42820.0,21250.0,47.956,18.7874,2001-01-01,-1.373818185636054,10.96401,7,2001-01
