fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2019-09-30,256537000000,33988000000,11697000000,11755000000,5951000000,12966000000,224816000000,164363000000,174336000000,4507000000,None,4507000000,38437000000,38327000000,58000000,3316000000,10716000000,99645000000,30233000000,13230000000,None,9131000000,7795000000,25800000000,249000000,14900000000,1315000000,None,22695000000,1542000000,46611000000,155841000000,43500000000,183783000000,1832000000,1890872188
2019-06-30,255878000000,33087000000,8513000000,8571000000,6809000000,14383000000,225101000000,165411000000,170364000000,4507000000,None,4507000000,37477000000,37417000000,58000000,3324000000,10687000000,98427000000,28829000000,14805000000,None,6953000000,5588000000,25538000000,255000000,14900000000,1340000000,None,20488000000,1414000000,47023000000,156395000000,42466000000,183442000000,1832000000,1898418471
2019-03-31,256809000000,33671000000,8699000000,8755000000,6723000000,14928000000,221285000000,166732000000,169969000000,4507000000,None,4507000000,36438000000,36360000000,56000000,3265000000,10866000000,100691000000,29951000000,14230000000,None,7023000000,7023000000,6380000000,259000000,15900000000,7023000000,None,22923000000,1971000000,48261000000,155045000000,41621000000,181387000000,1832000000,1904726000
2018-12-31,253863000000,34021000000,9342000000,9680000000,5704000000,15050000000,218777000000,169207000000,171037000000,4518000000,None,4518000000,36167000000,35546000000,338000000,3872000000,6766000000,98221000000,27171000000,13953000000,None,15626000000,5726000000,19738000000,None,18706000000,5000000000,None,24432000000,1628000000,48475000000,154554000000,41593000000,180987000000,1832000000,1902838000
2018-09-30,256606000000,35583000000,9686000000,9746000000,6029000000,16788000000,220818000000,171645000000,173304000000,4518000000,4518000000,4518000000,34748000000,34672000000,60000000,3020000000,6745000000,101933000000,29183000000,15335000000,None,6121000000,6121000000,36712000000,135000000,19900000000,None,29854000000,26021000000,1797000000,20414000000,153575000000,40648000000,178816000000,1832000000,1910774369
2018-06-30,257929000000,34256000000,7628000000,7686000000,6644000000,16672000000,223165000000,174242000000,169302000000,4518000000,4518000000,4518000000,34307000000,34242000000,58000000,3254000000,6859000000,104549000000,31862000000,15722000000,None,8598000000,8598000000,36970000000,140000000,19800000000,38517000000,29779000000,28398000000,1679000000,None,152198000000,39965000000,176899000000,1832000000,1916147100
2018-03-31,256442000000,31726000000,6466000000,6504000000,6128000000,15771000000,223516000000,175846000000,169131000000,4531000000,4531000000,4531000000,33477000000,33470000000,38000000,3323000000,6946000000,104876000000,30630000000,14479000000,None,8601000000,8601000000,74246000000,90000000,21100000000,39745000000,31054000000,29701000000,5683000000,None,150356000000,40359000000,175619000000,1832000000,1910957000
2017-12-31,253806000000,28560000000,4813000000,4822000000,5585000000,15353000000,224606000000,177712000000,166773000000,4531000000,4531000000,4531000000,32519000000,32497000000,9000000,2800000000,7017000000,104487000000,27737000000,14565000000,None,15192000000,5192000000,89978000000,94000000,30234000000,6720000000,33477000000,35426000000,6380000000,None,148124000000,40833000000,174106000000,1832000000,1904702000
2017-09-30,255160000000,29398000000,6641000000,6654000000,5761000000,14124000000,225178000000,178436000000,164630000000,4531000000,4531000000,4531000000,32412000000,32402000000,13000000,2859000000,6793000000,107249000000,28223000000,13084000000,None,7897000000,7897000000,79026000000,92000000,25000000000,41972000000,33983000000,32897000000,6119000000,None,146713000000,41237000000,173035000000,1832000000,1882650000
2017-06-30,254599000000,26626000000,4762000000,4775000000,6075000000,13168000000,224180000000,178176000000,159375000000,4543000000,4543000000,4543000000,31749000000,31706000000,13000000,2608000000,7352000000,107211000000,27956000000,12057000000,None,8782000000,8782000000,79255000000,93000000,25000000000,42864000000,33989000000,33782000000,5789000000,None,146203000000,41569000000,173116000000,1832000000,1881019000
